index,occupation,energy_Eh,energy_eV,irrep
681,0.0,1.365334,37.1526,
682,0.0,1.36537,37.1536,
683,0.0,1.365387,37.1541,
684,0.0,1.365407,37.1546,
685,0.0,1.391592,37.8672,
686,0.0,1.391804,37.8729,
687,0.0,1.392423,37.8898,
688,0.0,1.392791,37.8998,
689,0.0,1.392802,37.9001,
690,0.0,1.39281,37.9003,
691,0.0,1.392821,37.9006,
692,0.0,1.403649,38.1952,
693,0.0,1.403792,38.1991,
694,0.0,1.403996,38.2047,
695,0.0,1.404712,38.2242,
696,0.0,1.404832,38.2274,
697,0.0,1.40874,38.3338,
698,0.0,1.408892,38.3379,
699,0.0,1.408998,38.3408,
700,0.0,1.412343,38.4318,
701,0.0,1.412392,38.4331,
702,0.0,1.412394,38.4332,
703,0.0,1.412413,38.4337,
704,0.0,1.412443,38.4345,
705,0.0,1.4343,39.0293,
706,0.0,1.434455,39.0335,
707,0.0,1.434479,39.0342,
708,0.0,1.453101,39.5409,
709,0.0,1.453126,39.5416,
710,0.0,1.45313,39.5417,
711,0.0,1.453163,39.5426,
712,0.0,1.463535,39.8248,
713,0.0,1.463576,39.8259,
714,0.0,1.463579,39.826,
715,0.0,1.4775,40.2048,
716,0.0,1.477538,40.2058,
717,0.0,1.477633,40.2084,
718,0.0,1.480027,40.2736,
719,0.0,1.480329,40.2818,
720,0.0,1.480437,40.2847,
721,0.0,1.485658,40.4268,
722,0.0,1.485739,40.429,
723,0.0,1.485774,40.43,
724,0.0,1.485898,40.4333,
725,0.0,1.485993,40.4359,
726,0.0,1.519961,41.3602,
727,0.0,1.519979,41.3607,
728,0.0,1.520002,41.3614,
729,0.0,1.530461,41.646,
730,0.0,1.530467,41.6461,
731,0.0,1.530488,41.6467,
732,0.0,1.530492,41.6468,
733,0.0,1.530512,41.6473,
734,0.0,1.554489,42.2998,
735,0.0,1.554519,42.3006,
736,0.0,1.554588,42.3025,
737,0.0,1.556114,42.344,
738,0.0,1.556284,42.3486,
739,0.0,1.556302,42.3491,
740,0.0,1.556381,42.3513,
741,0.0,1.564019,42.5591,
742,0.0,1.564064,42.5603,
743,0.0,1.564091,42.5611,
744,0.0,1.564102,42.5614,
745,0.0,1.564113,42.5617,
746,0.0,1.598476,43.4968,
747,0.0,1.598716,43.5033,
748,0.0,1.598883,43.5078,
749,0.0,1.598926,43.509,
750,0.0,1.599134,43.5147,
751,0.0,1.610557,43.8255,
752,0.0,1.610569,43.8258,
753,0.0,1.61059,43.8264,
754,0.0,1.610611,43.827,
755,0.0,1.611504,43.8512,
756,0.0,1.612206,43.8703,
757,0.0,1.612348,43.8742,
758,0.0,1.621216,44.1155,
759,0.0,1.621689,44.1284,
760,0.0,1.621723,44.1293,
761,0.0,1.62208,44.139,
762,0.0,1.63307,44.4381,
763,0.0,1.633171,44.4408,
764,0.0,1.633264,44.4434,
765,0.0,1.65941,45.1548,
766,0.0,1.659416,45.155,
767,0.0,1.659423,45.1552,
768,0.0,1.664018,45.2802,
769,0.0,1.664088,45.2821,
770,0.0,1.664132,45.2833,
771,0.0,1.664219,45.2857,
772,0.0,1.664252,45.2866,
773,0.0,1.665871,45.3307,
774,0.0,1.666054,45.3356,
775,0.0,1.666091,45.3366,
776,0.0,1.666112,45.3372,
777,0.0,1.672384,45.5079,
778,0.0,1.672459,45.5099,
779,0.0,1.672568,45.5129,
780,0.0,1.672631,45.5146,
781,0.0,1.672794,45.519,
782,0.0,1.713802,46.6349,
783,0.0,1.715539,46.6822,
784,0.0,1.716034,46.6957,
785,0.0,1.721011,46.8311,
786,0.0,1.721193,46.836,
787,0.0,1.72152,46.8449,
788,0.0,1.721658,46.8487,
789,0.0,1.721753,46.8513,
790,0.0,1.721803,46.8526,
791,0.0,1.721854,46.854,
792,0.0,1.7219,46.8553,
793,0.0,1.72197,46.8572,
